Date,^DJI,^GSPC,^IXIC,^NYA,^RUT,^VIX
4/3/1990,2736.709961,343.6400146,437.7000122,1993.680054,163.3999939,20.44000053
4/4/1990,2719.370117,341.0899963,435.3999939,1980.569946,162.8399963,22.03000069
4/5/1990,2721.169922,340.730011,433.4200134,1978.869995,162.7799988,21.20999908
4/6/1990,2717.120117,340.0799866,430.8999939,1974.959961,162.3800049,21.76000023
4/9/1990,2722.070068,341.3699951,430.2000122,1980.98999,161.4600067,22.29999924
4/10/1990,2731.080078,342.0700073,431.8999939,1983.949951,161.9100037,21.69000053
4/11/1990,2729.72998,341.9200134,433.5,1983.310059,162.1699982,17.72999954
4/12/1990,2751.800049,344.3399963,436.2999878,1996.319946,162.5800018,19.79999924
4/16/1990,2763.060059,344.7399902,436.7000122,1997.800049,162.5200043,20.75
4/17/1990,2765.77002,344.6799927,435.3999939,1997.47998,162.2400055,20.37999916
4/18/1990,2732.879883,340.7200012,431.5,1976.550049,161.3999939,22.67000008
4/19/1990,2711.939941,338.0899963,429,1962.170044,160.8200073,22.45999908
4/20/1990,2695.949951,335.1199951,425.7999878,1946.199951,160.0599976,23.32999992
4/23/1990,2666.669922,331.0499878,420.1000061,1923.680054,158.4799957,24.15999985
4/24/1990,2654.5,330.3599854,419.2000122,1919.23999,158.3600006,21.70000076
4/25/1990,2666.439941,332.0299988,420.6000061,1927.589966,158.6199951,20.86000061
4/26/1990,2676.580078,332.9200134,421.1000061,1931.400024,158.7299957,20.25
4/27/1990,2645.050049,329.1099854,418,1911.099976,157.8200073,22.19000053
4/30/1990,2656.76001,330.7999878,420.1000061,1919.030029,158.0899963,19.52000046
5/1/1990,2668.919922,332.25,421.8999939,1926.75,158.4900055,18.43000031
5/2/1990,2689.639893,334.480011,423.6000061,1938.589966,159.1300049,19.31999969
5/3/1990,2696.169922,335.5700073,425.3999939,1945.25,159.7200012,17.80999947
5/4/1990,2710.360107,338.3900146,428.6000061,1960.160034,160.3899994,17.28000069
5/7/1990,2721.620117,340.5299988,431.2000122,1971.469971,160.7299957,17.64999962
5/8/1990,2733.560059,342.0100098,431.7999878,1978.449951,160.6900024,18.48999977
5/9/1990,2732.879883,342.8599854,431.2999878,1982.469971,161.0800018,18.63999939
5/10/1990,2738.51001,343.8200073,433.2000122,1989.339966,161.6699982,18.59000015
5/11/1990,2801.580078,352,438.1000061,2032.689941,163.1199951,19.80999947
5/14/1990,2821.530029,354.75,441.6000061,2047.599976,163.8399963,20.13999939
5/15/1990,2822.449951,354.2799988,442.5,2044.01001,163.6600037,19.48999977
5/16/1990,2819.679932,354,442.8999939,2042.209961,163.8600006,17.70999908
5/17/1990,2831.709961,354.4700012,445.7000122,2045.910034,164.8099976,17.27000046
5/18/1990,2819.909912,354.6400146,448.2999878,2046.550049,165.4400024,17.20000076
5/21/1990,2844.679932,358,452.8999939,2064.840088,166.6499939,16.71999931
5/22/1990,2852.22998,358.4299927,453.8999939,2068.01001,167.2200012,17.84000015
5/23/1990,2856.26001,359.2900085,456.8999939,2070.870117,167.8000031,17.18000031
