Date,Dow Jones Industrial Average,DJIA % Change,S&P 500,S&P % Change,NASDAQ Composite,NASDAQ % Change,NYSE COMPOSITE,NYSE % Change,Russell 2000,Russell % Change,CBOE Volatility Index,VIX % Change,Recession
6/29/1990,2880.689941,0.000687565,358.019989,0.001089874,462.2999878,0.004118341,2066.949951,0.0015348,169.1199951,0.004206989,15.5,-0.042935907,No
7/2/1990,2899.26001,0.006425707,359.5400085,0.00423664,462,-0.000649114,2074.780029,0.003781071,169,-0.000709778,16.26000023,0.047868094,Yes
7/3/1990,2911.629883,0.004257486,360.1600037,0.001722927,461.7999878,-0.000433021,2078.899902,0.001983723,168.9400024,-0.000355078,16.11000061,-0.009267883,Yes
7/5/1990,2879.209961,-0.011197084,355.6799927,-0.012516958,459.2000122,-0.005645999,2056.060059,-0.011047302,168.0200043,-0.005460591,17.25,0.068371908,Yes
7/6/1990,2904.949951,0.008900224,358.4200134,0.007674091,460.5,0.002826984,2070.120117,0.006815074,168.1999969,0.001070684,16.40999985,-0.049921248,Yes
7/9/1990,2914.110107,0.003148331,359.519989,0.003064257,461.7000122,0.0026025,2074.879883,0.002296631,168.1100006,-0.000535198,16.65999985,0.015119732,Yes
7/10/1990,2890.840088,-0.008017345,356.4899902,-0.008463616,461,-0.001517313,2059.340088,-0.007517678,167.6900024,-0.00250148,16.92000008,0.015485731,Yes
7/11/1990,2932.669922,0.014366097,361.230011,0.013208744,463.8999939,0.006270956,2084.189941,0.011994676,168.6600037,0.005767825,16.68000031,-0.014285943,Yes
7/12/1990,2969.800049,0.012581383,365.4400024,0.011587209,467.2000122,0.007088459,2107.560059,0.011150646,169.4299927,0.004554943,17.05999947,0.022526095,Yes
7/13/1990,2980.199951,0.003495769,367.3099976,0.005104058,468.3999939,0.002565161,2118.23999,0.005054642,170.0399933,0.003593845,17.09000015,0.001756995,Yes
7/16/1990,2999.75,0.006538556,368.9500122,0.004454995,469.6000061,0.002558663,2126.689941,0.003981202,169.9700012,-0.000411706,16.75,-0.020095248,Yes
7/17/1990,2999.75,0,367.519989,-0.003883458,464.5,-0.010919723,2119.929932,-0.003183715,168.8899994,-0.006374346,16.65999985,-0.005387631,Yes
7/18/1990,2981.679932,-0.006042075,364.2200012,-0.009019625,460.7999878,-0.007997475,2112.949951,-0.003297985,167.8600006,-0.00611731,18.89999962,0.126151274,Yes
7/19/1990,2993.810059,0.004059966,365.3200073,0.003015618,458.2000122,-0.005658286,2108.189941,-0.002255321,167.0200043,-0.005016711,18.55999947,-0.018153203,Yes
7/20/1990,2961.139893,-0.01097255,361.6099854,-0.010207459,455.2999878,-0.006349281,2089.899902,-0.00871356,166.8200073,-0.001198161,15.63000011,-0.171816547,Yes
7/23/1990,2904.699951,-0.019244195,355.3099976,-0.017575602,444.6000061,-0.0237815,2053.629883,-0.017507269,162.8699951,-0.023963124,23.68000031,0.415438672,Yes
7/24/1990,2922.52002,0.006116167,355.7900085,0.001350052,442.6000061,-0.004508574,2056.060059,0.001182657,163.2400055,0.002269238,21.79000092,-0.083179632,Yes
7/25/1990,2930.939941,0.002876906,357.0899963,0.003647147,445.5,0.006530806,2062.929932,0.003335711,163.6900024,0.002752866,20.19000053,-0.076263733,Yes
7/26/1990,2920.790039,-0.00346903,355.9100037,-0.00330994,445.3999939,-0.000224506,2057.120117,-0.002820266,164.0800018,0.002379715,20.26000023,0.003461052,Yes
7/27/1990,2898.51001,-0.007657326,353.4400024,-0.006964154,442.6000061,-0.0063063,2044.109985,-0.006344524,163.1699982,-0.005561534,21.12000084,0.041571988,Yes
7/30/1990,2917.330078,0.006472026,355.5499878,0.005952106,439.3999939,-0.007256295,2053.209961,0.004441924,161.9499969,-0.007504965,21.15999985,0.001892101,Yes
7/31/1990,2905.199951,-0.004166623,356.1499939,0.001686121,438.2000122,-0.002734691,2057.649902,0.002160104,161.5099945,-0.0027206,21.11000061,-0.002365709,Yes
8/1/1990,2899.26001,-0.002046682,355.519989,-0.001770498,435.8999939,-0.00526261,2055.320068,-0.001132921,160.7599945,-0.004654491,21.63999939,0.024796535,Yes
8/2/1990,2864.600098,-0.012026777,351.480011,-0.011428634,428.8999939,-0.016189068,2033.959961,-0.010446974,158.5800018,-0.013653326,20.43000031,-0.057539002,Yes
8/3/1990,2809.649902,-0.019368873,344.8599854,-0.019014347,417.5,-0.026939233,1996.530029,-0.018573924,154.3500061,-0.027036419,28.73999977,0.341285449,Yes
8/6/1990,2716.340088,-0.033774467,334.4299927,-0.030710927,400,-0.042819997,1938.380005,-0.029558113,149.0099945,-0.03520941,35.90999985,0.222725931,Yes
8/7/1990,2710.639893,-0.002100688,334.8299866,0.001195332,402.1000061,0.005236282,1939.75,0.000706524,149.1999969,0.001274286,32.75,-0.092112842,Yes
8/8/1990,2734.899902,0.008910106,338.3500061,0.01045798,407.7000122,0.013830811,1960.369995,0.01057413,151.1199951,0.012786524,28.27000046,-0.147101774,Yes
8/9/1990,2758.909912,0.008740806,339.9400024,0.004688258,413,0.012915953,1969.25,0.004519531,152.5399933,0.009352622,24.38999939,-0.147628001,Yes
8/10/1990,2716.580078,-0.015461877,335.519989,-0.013087604,408,-0.012180419,1947.150024,-0.011285982,150.8399963,-0.011207165,25.75,0.05426144,Yes
8/13/1990,2746.780029,0.011055562,338.8399963,0.009846474,408.2999878,0.000734994,1962.800049,0.008005273,150.1199951,-0.004784706,25.73999977,-0.000388434,Yes
8/14/1990,2747.77002,0.000360354,339.3900146,0.001621923,410.2999878,0.004886401,1967.77002,0.002528882,151.1399994,0.006771614,24.18000031,-0.062520335,Yes
8/15/1990,2748.27002,0.000181949,340.0599976,0.001972134,411.5,0.00292045,1972.420044,0.002360306,151.3000031,0.001058086,23.30999947,-0.036643428,Yes
8/16/1990,2681.439941,-0.024617688,332.3900146,-0.022813043,402.2999878,-0.022610971,1932.140015,-0.020633033,148.4700012,-0.018881716,27.15999985,0.152862867,Yes
8/17/1990,2644.800049,-0.013758475,327.8299866,-0.013813882,393.5,-0.022116981,1905.280029,-0.01399921,145.6399994,-0.019245107,27.53000069,0.013531047,Yes
8/20/1990,2656.439941,0.004391392,328.5100098,0.002072168,388.6000061,-0.012530515,1907.709961,0.001274555,144.1600037,-0.010214,26.45999908,-0.03964222,Yes
8/21/1990,2603.959961,-0.01995351,321.8599854,-0.020450686,379.7000122,-0.023169053,1870.920044,-0.019473237,140.7799988,-0.02372544,28.89999962,0.088207458,Yes
8/22/1990,2560.149902,-0.016967536,316.5499878,-0.016635455,374.7999878,-0.012988982,1842.160034,-0.015491497,139,-0.012724447,30.54999924,0.055523079,Yes
8/23/1990,2483.419922,-0.030429201,307.0599976,-0.030438008,360.2000122,-0.039733051,1785.689941,-0.031133953,132.9199982,-0.044726503,36.47000122,0.177125378,Yes
